,set_point,filter_measure_variable,gross_measure_variable,error
0,90,80.44729215094246,80.1769309285653,9.55270784905754
1,90,79.98702222001005,79.06648235814522,10.012977779989953
2,90,80.45307182643656,81.85122064571608,9.546928173563444
3,90,80.08023684780646,78.5888969332861,9.91976315219354
4,90,81.41491567021168,88.08830978223779,8.585084329788316
5,90,81.58345480880516,82.59468964036593,8.416545191194842
6,90,81.33340922575323,79.58309014438973,8.666590774246771
7,90,81.37646286600142,81.72089198798685,8.623537133998582
8,90,81.39398802543175,81.55171446030484,8.606011974568247
9,90,81.28948260436523,80.24442839369996,8.710517395634767
10,90,82.0950680217298,90.95650761274008,7.904931978270199
11,90,82.7377858748477,90.45040011226251,7.262214125152298
12,90,82.58957204999997,80.66279232697937,7.410427950000027
13,90,82.96002673352184,88.14639230282829,7.039973266478157
14,90,82.82082084210018,80.73273247077512,7.179179157899824
15,90,83.20840616471666,89.40977132658065,6.7915938352833365
16,90,83.36094870962813,85.95417197312298,6.639051290371867
17,90,83.7066221885824,89.92874480975932,6.293377811417599
18,90,83.66966104421428,82.96739930122006,6.33033895578572
19,90,83.74923734960545,82.30917948114288,6.250762650394549
20,90,83.66379281804522,78.46804029736062,6.3362071819547765
21,90,83.80106032464315,81.81183249010392,6.198939675356854
22,90,84.01190287276309,86.06807160811498,5.988097127236912
23,90,84.3620934094231,85.59270766648638,5.637906590576904
24,90,83.89311200734937,78.70868174076328,6.106887992650627
25,90,84.1049223943992,86.8308973813623,5.895077605600804
26,90,84.42022619410149,85.88916613843541,5.579773805898512
27,90,84.59674219889409,85.25121208383898,5.403257801105909
28,90,84.5625033255927,80.86693699427671,5.437496674407299
29,90,84.8223523753337,85.44140938851977,5.177647624666307
30,90,84.70052285485032,88.51991720307245,5.29947714514968
31,90,84.17980250324017,80.03599308005967,5.820197496759832
32,90,84.57300474788101,88.5268372197963,5.426995252118985
33,90,84.14854358434684,79.65716903214468,5.8514564156531605
34,90,84.2127100884218,82.0160625522747,5.787289911578199
35,90,84.09845136731153,87.12459690437474,5.901548632688474
36,90,83.85096299977083,81.00440462230938,6.149037000229171
37,90,83.60566311480778,85.02274711049844,6.394336885192217
38,90,84.19618307808524,94.77779856676946,5.803816921914759
39,90,84.6119560297305,90.62463851404758,5.388043970269507
40,90,84.6341764468137,78.91244863902477,5.365823553186303
41,90,84.26814978028756,74.49129915958116,5.731850219712442
42,90,83.58628115027676,72.43069900789922,6.413718849723239
43,90,83.06472643142992,75.16161328954925,6.935273568570082
44,90,81.42341492857908,45.88245168374679,8.576585071420922
45,90,79.11193493792258,40.601297568232425,10.888065062077416
46,90,76.11392186698255,25.92890471963484,13.886078133017449
47,90,76.20927860983224,87.15834694083287,13.79072139016776
48,90,73.96771826003754,36.035729998382486,16.032281739962457
49,90,71.38125160107185,33.712076209206145,18.618748398928147
50,90,70.41925241148014,69.27993341123839,19.580747588519856
51,90,67.15833342691747,14.817613388806059,22.841666573082534
52,90,64.85468724977142,42.45391367687526,25.145312750228584
53,90,63.32596395748052,49.08270318632653,26.674036042519482
54,90,61.14594681474516,38.415719697567326,28.85405318525484
55,90,58.80018093620313,40.20927933353394,31.199819063796873
56,90,57.083142150046704,46.66362889918134,32.916857849953296
57,90,55.11652205839573,45.690345277478805,34.88347794160427
58,90,52.51305988580314,42.70855511491751,37.48694011419686
59,90,49.95534727536301,39.470386305244965,40.04465272463699
60,90,47.76612418376554,35.12798680707554,42.23387581623446
61,90,46.371176411617775,46.59234371662586,43.628823588382225
62,90,45.03232383469167,45.65364746937703,44.96767616530833
63,90,43.46870317412335,43.88920007818267,46.53129682587665
64,90,43.042020961579965,37.348807432879276,46.957979038420035
65,90,43.04276595441528,40.6161974249387,46.95723404558472
66,90,43.344912752569485,31.971840682718977,46.655087247430515
67,90,40.969791756096356,39.655927011370345,49.030208243903644
68,90,41.209976415543096,40.839423187317266,48.790023584456904
69,90,41.13207027096051,32.15395331755438,48.86792972903949
70,90,39.83620756005938,43.3626791932158,50.16379243994062
71,90,41.13736129024369,40.840687992492384,48.86263870975631
72,90,41.28706028519938,45.44789357598914,48.71293971480062
73,90,40.821579038931375,39.77307826096625,49.178420961068625
74,90,40.79464337716279,37.8770064621957,49.20535662283721
75,90,40.56823120065095,35.68103580329711,49.43176879934905
76,90,40.14866936008285,38.27239208781953,49.85133063991715
77,90,39.70844800418793,36.88591815958016,50.29155199581207
78,90,38.82755566469385,25.09070832503599,51.17244433530615
79,90,38.68036144264536,36.52650186427514,51.31963855735464
80,90,38.78275658532473,37.17588966066284,51.21724341467527
81,90,37.99667732761522,30.870758562435775,52.00332267238478
82,90,37.484517173423235,35.410444385537325,52.515482826576765
83,90,37.39333092445915,42.06547509890091,52.60666907554085
84,90,37.412641274990534,37.73501444350688,52.587358725009466
85,90,37.139344980460706,35.15027153434218,52.860655019539294
86,90,37.24706022562172,34.12614558593933,52.75293977437828
87,90,37.252560682466616,39.76593614826821,52.747439317533384
88,90,36.88432805651123,33.4747706682096,53.11567194348877
89,90,37.362154318489274,41.710478557115266,52.637845681510726
90,90,37.17024716793031,39.52453618203668,52.82975283206969
91,90,37.085953897823494,39.15482259035593,52.914046102176506
92,90,36.71705715064205,38.06995863236028,53.28294284935795
93,90,36.00960857459467,25.6241067400187,53.99039142540533
94,90,36.0893528173727,39.47189131775619,53.9106471826273
95,90,36.34023596570081,40.698698769859476,53.65976403429919
96,90,35.93459798458565,30.159632465516154,54.06540201541435
97,90,36.2391486970177,42.97693240822105,53.7608513029823
98,90,36.778257382902225,35.87288204272665,53.221742617097775
99,90,37.07859932209896,42.533340648209816,52.92140067790104
100,90,37.20716140215752,39.747131261833786,52.79283859784248
101,90,37.759672697589494,41.92098447107532,52.240327302410506
102,90,38.00605786192622,40.338147672272015,51.99394213807378
103,90,38.135976380633636,44.66384547304906,51.864023619366364
104,90,38.101515452456816,37.0457958799706,51.898484547543184
105,90,38.48927933624428,42.905549210091436,51.51072066375572
106,90,38.49218185001163,34.1841958612865,51.50781814998837
107,90,38.2586160217636,35.09461958330759,51.7413839782364
108,90,38.62620239483875,40.82649812971245,51.37379760516125
109,90,38.060748970318045,30.40141006670128,51.939251029681955
110,90,37.702004050849034,32.349637792656445,52.297995949150966
111,90,37.4286084292912,33.686910159199215,52.5713915707088
112,90,37.02842800345793,30.066350115694824,52.97157199654207
113,90,37.83574927547017,41.77053218026352,52.16425072452983
114,90,37.414280924996184,31.04252430827647,52.585719075003816
115,90,36.86465427550528,29.70616578004143,53.13534572449472
116,90,36.91722059568426,31.21095886909573,53.08277940431574
117,90,36.354265856033955,31.717837615214833,53.645734143966045
118,90,36.09850185595708,30.75760204118907,53.90149814404292
119,90,35.517647039709225,30.916244323252972,54.482352960290775
120,90,35.04007488554235,30.195688178496287,54.95992511445765
121,90,34.44727126473318,30.064912054891888,55.55272873526682
122,90,33.876045660435885,28.913635586326166,56.123954339564115
123,90,33.47929398028658,36.72881187006272,56.52070601971342
124,90,33.13161626998648,30.092241673968726,56.86838373001352
125,90,32.686059782183506,33.9944194540321,57.313940217816494
126,90,32.57207371659029,31.90447454942217,57.42792628340971
127,90,32.60329447836391,35.719034818779754,57.39670552163609
128,90,32.10728692490566,30.9063470605476,57.89271307509434
129,90,32.10507933130472,30.357258194682732,57.89492066869528
130,90,32.04306926016874,31.109436369936812,57.95693073983126
131,90,32.03156969848205,33.45691892546542,57.96843030151795
132,90,32.62876668704221,42.010289886897915,57.37123331295779
133,90,32.005918997115174,29.313578381722802,57.994081002884826
134,90,32.05864746391537,32.09709364428036,57.94135253608463
135,90,32.1780369700226,32.09395590218603,57.8219630299774
136,90,31.962411223040657,26.89844392945695,58.03758877695934
137,90,31.93421303065581,31.15387376751777,58.06578696934419
138,90,31.84460849598595,28.96551134779194,58.15539150401405
139,90,31.958700353097136,33.19808146547669,58.041299646902864
140,90,32.4122504083075,39.266689282703645,57.5877495916925
141,90,32.6690916897842,35.20173768442585,57.3309083102158
142,90,32.65210418489167,28.573885488475366,57.34789581510833
143,90,32.37578058959641,31.202339964157577,57.62421941040359
144,90,32.793209200369546,38.44081388943135,57.206790799630454
145,90,32.78273456060638,33.78492665876878,57.21726543939362
146,90,32.686189280303495,29.973568943364594,57.313810719696505
147,90,32.50183233198041,32.03189585231801,57.49816766801959
148,90,33.388684504175444,48.643390504448284,56.611315495824556
149,90,33.512762099696815,32.838810105110085,56.487237900303185
150,90,33.58866132066026,32.627420789205885,56.41133867933974
151,90,33.41018667215004,29.88742595526109,56.58981332784996
152,90,32.87766415216605,31.359839487218125,57.12233584783395
153,90,33.14589581818303,34.678211702062306,56.85410418181697
154,90,33.225130852018296,33.681794320985595,56.774869147981704
155,90,33.53410336668072,38.2734061954346,56.46589663331928
156,90,33.97915375158378,35.79945162751804,56.02084624841622
157,90,34.39296827845291,39.43016430490049,55.60703172154709
158,90,34.423577237836994,29.57769053547348,55.576422762163006
159,90,34.31043592783505,30.935255265437863,55.68956407216495
160,90,33.869648516757806,30.45094106115885,56.130351483242194
161,90,34.178343322261256,41.37563379449476,55.821656677738744
162,90,34.350019650020585,32.007412043662015,55.649980349979415
163,90,34.63245940859957,36.85113513573736,55.36754059140043
164,90,34.16912551968084,29.174136111056747,55.83087448031916
165,90,33.87132661311493,27.828948527450414,56.12867338688507
166,90,34.2339053564303,37.22514380967199,55.7660946435697
167,90,34.2239416165216,31.832621054144067,55.7760583834784
168,90,33.188044421083966,27.92544659569543,56.811955578916034
169,90,33.193490778260795,32.94773724864675,56.806509221739205
170,90,33.18354880114022,32.428581246794465,56.81645119885978
171,90,33.46610682394835,35.53858641142358,56.53389317605165
172,90,33.39281788279392,29.894060664129682,56.60718211720608
173,90,33.56442874320988,38.11042891038141,56.43557125679012
