,set_point,filter_measure_variable,gross_measure_variable,error
0,150,41.74059053255009,42.74262055867227,108.25940946744991
1,150,41.49325219873617,40.99857553110834,108.50674780126383
2,150,41.27192714389437,40.607951979368956,108.72807285610563
3,150,41.45788513870719,42.201717117958474,108.54211486129282
4,150,41.27946256534856,40.38734969855543,108.72053743465145
5,150,46.47351810998435,77.63785137779902,103.52648189001565
6,150,50.498248702187894,78.67136284761273,99.5017512978121
7,150,53.46569677352389,77.20528134421183,96.53430322647611
8,150,55.93015343833806,78.11026342166569,94.06984656166193
9,150,58.161645860474735,80.47657008184152,91.83835413952526
10,150,60.057683591588706,80.91409863384246,89.9423164084113
11,150,59.925705314027525,58.34196598329338,90.07429468597248
12,150,64.80106298337512,128.18071268489376,85.19893701662488
13,150,78.23862144744058,266.364439944357,71.76137855255942
14,150,90.81858784044577,279.5180837355238,59.18141215955423
15,150,101.21898316599325,267.62530837475293,48.78101683400675
16,150,112.81005010365979,309.858188043991,37.18994989634021
17,150,126.56207327676506,374.09849039265976,23.437926723234938
18,150,138.2251532276383,359.82367229422977,11.774846772361713
19,150,153.33069639035483,342.84942376075844,-3.330696390354831
20,150,167.95831215314465,335.29493581446945,-17.958312153144647
21,150,182.2652949959769,327.13823238775285,-32.26529499597689
22,150,196.08723298726989,317.0467118052283,-46.087232987269886
23,150,202.74173326287854,175.2917226301318,-52.74173326287854
24,150,203.8399802675635,62.35228979225428,-53.839980267563504
25,150,203.07570218828627,62.35228979225428,-53.07570218828627
26,150,202.25974853551836,62.35228979225428,-52.259748535518355
27,150,199.4641898688228,21.29410801030133,-49.464189868822814
28,150,196.55135854021972,19.853636849603536,-46.551358540219724
29,150,194.3041610316446,35.53261991033942,-44.30416103164461
30,150,192.1781112143479,38.39310228790792,-42.178111214347894
31,150,193.05293414483418,75.83842459301943,-43.05293414483418
32,150,190.3234082937291,73.5901956627923,-40.3234082937291
33,150,180.6883859774654,73.66399361908333,-30.6883859774654
34,150,170.42934830548378,74.3373302958911,-20.429348305483785
35,150,160.70803629513054,73.19906816768834,-10.70803629513054
36,150,148.84859633022563,72.66938874589279,1.1514036697743677
37,150,133.88573913394617,74.84134646707062,16.114260866053826
38,150,119.49292676474894,71.9674249102846,30.507073235251056
39,150,105.9805455196711,72.60179885920121,44.0194544803289
40,150,92.9158227355413,74.00048013187387,57.0841772644587
41,150,80.30205816886179,74.86294105416279,69.69794183113821
42,150,68.08654468636486,72.73644215528998,81.91345531363514
43,150,62.98052268082519,73.17128251933838,87.01947731917481
44,150,63.57901581356428,74.32215244703613,86.42098418643572
45,150,64.08330877525951,72.43814902615901,85.91669122474049
46,150,64.58880486583519,72.46221160376751,85.41119513416481
47,150,67.17343787908463,72.98676827529034,82.82656212091537
48,150,69.79200216064355,72.22492248078186,80.20799783935645
49,150,71.93881046147642,78.4687859269971,78.06118953852358
50,150,73.70199745578704,73.6568421741202,76.29800254421296
51,150,73.60363124740978,73.8711004254741,76.39636875259022
52,150,73.73224067909867,76.16238429657021,76.26775932090133
53,150,75.36305470633928,106.28027416389573,74.63694529366072
54,150,76.20587346666453,91.19370550239577,73.79412653333547
55,150,76.53991351941112,79.87986922262031,73.46008648058888
56,150,76.40444757325946,69.9600698228597,73.59555242674054
57,150,76.68459277104421,80.44425042276538,73.31540722895579
58,150,76.48418700865201,67.95930966244083,73.51581299134799
59,150,76.85653693265795,80.04879733931973,73.14346306734205
60,150,77.02322072014773,77.33415588166976,72.97677927985227
61,150,77.14986052028169,77.39573705684167,72.85013947971831
62,150,77.24570817874212,74.65339532449873,72.75429182125788
63,150,77.41444295809833,76.54597810646275,72.58555704190167
64,150,77.38740245349996,73.78134235506872,72.61259754650004
65,150,77.66248846082718,77.93986917270327,72.33751153917282
66,150,78.02200770160565,79.65259641933648,71.97799229839435
67,150,78.11816222912947,74.90985882576699,71.88183777087053
68,150,78.25200593112662,74.90179652072466,71.74799406887338
69,150,77.72230135850411,67.87469447454714,72.27769864149589
