time,fx,fy,fz,fx_filtered,fy_filtered,fz_filtered
11.858657836914062,0.09457683,0.09411867,0.07177548,0.09458906,0.07754483,0.061032258
11.869837284088135,0.10514664,0.062240735,0.053940594,0.09488656,0.07723555,0.060902797
11.880800724029541,0.10514664,0.062240735,0.053940594,0.0952296,0.0769597,0.06070661
11.892626523971558,0.10514664,0.062240735,0.053940594,0.09557265,0.07668386,0.060510427
11.904401063919067,0.10514664,0.062240735,0.053940594,0.095915705,0.076408006,0.060314246
11.91543698310852,0.10514664,0.062240735,0.053940594,0.09625877,0.076132156,0.060118064
11.927381753921509,0.10514664,0.062240735,0.053940594,0.096601814,0.075856306,0.059921883
11.938750743865967,0.09003548,0.053464666,0.037529558,0.09658147,0.07539656,0.059402738
11.950202226638794,0.09003548,0.053464666,0.037529558,0.09656112,0.07493681,0.058883596
11.961522340774536,0.09003548,0.053464666,0.037529558,0.096540764,0.07447706,0.058364447
11.976064205169678,0.09003548,0.053464666,0.037529558,0.096520424,0.074017316,0.057845306
11.988050937652588,0.09003548,0.053464666,0.037529558,0.09650007,0.07355758,0.057326164
12.001786470413208,0.09003548,0.053464666,0.037529558,0.09632529,0.073034905,0.056967
12.015906810760498,0.067536324,0.09286857,0.063154906,0.095700525,0.07330032,0.057120346
12.028911352157593,0.067536324,0.09286857,0.063154906,0.09507576,0.07356573,0.057273697
12.044504404067993,0.067536324,0.09286857,0.063154906,0.09445099,0.073831126,0.057427045
12.057493686676025,0.10456568,0.06371865,0.054088056,0.0945668,0.07351354,0.057399057
12.070248126983643,0.10456568,0.06371865,0.054088056,0.09489088,0.07341052,0.05749091
12.081952810287476,0.10456568,0.06371865,0.054088056,0.095214956,0.07330751,0.057582766
12.093831539154053,0.10456568,0.06371865,0.054088056,0.09553903,0.07320449,0.057674617
12.106146335601807,0.10456568,0.06371865,0.054088056,0.09586311,0.073101476,0.05776647
12.118483066558838,0.091940075,0.070705995,0.059565812,0.095741846,0.07287646,0.057607442
12.130188703536987,0.091940075,0.070705995,0.059565812,0.09562057,0.07265143,0.057448406
