,set_point,measure_variable,error`
0,150,77.28535369044856,72.71464630955144
1,150,77.3578966410577,72.6421033589423
2,150,77.31804502630662,72.68195497369338
3,150,77.70835042658611,72.29164957341389
4,150,78.0099792466063,71.9900207533937
5,150,78.3197437956808,71.6802562043192
6,150,79.6058131309229,70.3941868690771
7,150,79.87898482597483,70.12101517402517
8,150,80.12770143722958,69.87229856277042
9,150,81.24500389716431,68.75499610283569
10,150,78.94609593578365,71.05390406421635
11,150,55.98887434722115,94.01112565277884
12,150,35.565581919327265,114.43441808067274
13,150,23.48129643769219,126.5187035623078
14,150,39.87750002035784,110.12249997964216
15,150,70.96570571636201,79.03429428363799
16,150,103.56758401532143,46.43241598467857
17,150,136.74831239784677,13.251687602153225
18,150,169.30186343124174,-19.301863431241742
19,150,201.00546262451527,-51.005462624515275
20,150,235.47441492136778,-85.47441492136778
21,150,228.54107419427703,-78.54107419427703
22,150,211.66946633376958,-61.66946633376958
23,150,193.26014931935384,-43.26014931935384
24,150,165.94107123545865,-15.94107123545865
25,150,136.4238812560752,13.576118743924809
26,150,103.9403369108991,46.059663089100894
27,150,77.62717549905322,72.37282450094678
28,150,53.72655716615031,96.27344283384969
29,150,31.881539574266956,118.11846042573305
30,150,14.144395037034613,135.8556049629654
31,150,15.5852763343954,134.4147236656046
32,150,18.09504627756,131.90495372243998
33,150,27.748180273583376,122.25181972641663
34,150,23.114731132019593,126.88526886798041
35,150,59.042527409761526,90.95747259023847
36,150,90.32463547568948,59.675364524310524
37,150,127.57068285105618,22.429317148943824
38,150,166.06390996870454,-16.063909968704536
39,150,202.59973460504688,-52.599734605046876
40,150,240.45606554296933,-90.45606554296933
41,150,273.8758928784122,-123.87589287841217
42,150,301.1130044864661,-151.11300448646608
43,150,297.2087871654012,-147.2087871654012
44,150,296.0608534684442,-146.06085346844418
45,150,264.7900738767181,-114.79007387671811
46,150,235.42710142716786,-85.42710142716786
47,150,198.51183409969096,-48.51183409969096
48,150,162.9426048003175,-12.942604800317497
49,150,130.34078233988222,19.659217660117775
50,150,95.73256616503296,54.267433834967036
51,150,66.04310773714735,83.95689226285265
52,150,62.759462459446006,87.24053754055399
53,150,66.00586827069799,83.99413172930201
54,150,66.49515481407818,83.50484518592182
55,150,66.52178991058823,83.47821008941177
56,150,65.02551263901825,84.97448736098175
57,150,72.622240494627,77.377759505373
58,150,78.69172459986453,71.30827540013547
59,150,82.1559902114289,67.8440097885711
60,150,81.32954827849925,68.67045172150075
61,150,44.26887952936912,105.73112047063088
62,150,10.370251660197688,139.62974833980232
63,150,36.26984490768434,113.73015509231567
64,150,74.68436253300004,75.31563746699996
65,150,111.45239519433278,38.54760480566722
66,150,146.19334328547905,3.8066567145209547
67,150,186.2955310539603,-36.2955310539603
68,150,222.47790890183927,-72.47790890183927
69,150,256.9023906808847,-106.90239068088471
70,150,260.1697655745448,-110.16976557454478
71,150,226.88190659424092,-76.88190659424092
72,150,192.11374853622425,-42.11374853622425
73,150,158.93910189410698,-8.939101894106983
74,150,119.67457596488772,30.325424035112277
75,150,82.55967690309534,67.44032309690466
76,150,47.27687324629563,102.72312675370438
77,150,8.308618060594695,141.69138193940532
78,150,27.94431439725648,122.05568560274352
79,150,63.72775324523427,86.27224675476573
80,150,69.39149592199534,80.60850407800466
81,150,75.2047380244361,74.7952619755639
82,150,80.16452741218177,69.83547258781823
83,150,85.28786730177559,64.71213269822441
84,150,81.39106884225069,68.60893115774931
85,150,82.68779211945821,67.31220788054179
86,150,79.90968717488822,70.09031282511178
87,150,81.60223340135504,68.39776659864496
88,150,83.81259088662384,66.18740911337616
89,150,82.75243976233924,67.24756023766076
90,150,90.14104708245017,59.85895291754983
91,150,93.85105811363482,56.14894188636518
92,150,95.06329986451183,54.93670013548817
93,150,92.21140686901838,57.788593130981624
94,150,109.59201407858087,40.407985921419126
95,150,112.30286032419718,37.697139675802816
96,150,121.72183932880733,28.278160671192666
97,150,124.85000944188566,25.14999055811434
