,0
0,63.305822433234574
1,64.85132819409299
2,67.77296112943526
3,67.23175188293266
4,65.18994104817583
5,62.951829055319244
6,66.25990159441623
7,61.80723484155928
8,62.311001247454804
9,66.03898026362349
10,58.18200963331989
11,67.8672699010742
12,51.45966439011168
13,68.45894992632242
14,61.68386228684905
15,60.04024958363022
16,57.811465131641974
17,68.38151640306603
18,57.690254253053745
19,59.20463071488291
20,49.574927513731424
21,58.88265475429111
22,73.9795707108019
23,72.47418308155521
24,47.47195628353246
25,50.88852997901673
26,52.18063590186585
27,67.09116005968208
28,56.43533866252681
29,55.96534760457157
30,50.45350868600152
31,63.071707719144335
32,55.35854016084918
33,68.00665248472268
34,50.015575190394685
35,55.197549642122084
36,50.53483198801394
37,56.19822122429339
38,52.72278423581664
39,72.71574968284074
40,63.05182675087636
41,49.77970904000136
42,66.55364680946951
43,55.33116573896376
44,58.76534989997376
45,62.05338001827588
46,49.98432272282879
47,62.5888280037019
48,60.7737548346402
49,72.50880112358915
50,81.89329528574387
51,51.6953307059289
52,30.693601798514823
53,40.59415654324235
54,53.305524509473585
55,56.53838360554897
56,59.24244768398568
57,53.022860413446885
58,51.144318370912245
59,50.961135810394914
60,57.41759995514922
61,113.2541534350286
62,72.28875334723818
63,38.32413980926983
64,50.57833750245043
65,82.28365579830654
66,118.3416182238486
67,149.33301757544336
68,183.83381367422436
69,144.12329393881836
70,136.69614274088545
71,87.67372378056574
72,152.093726645807
73,189.6064062020473
74,278.55259228979486
75,232.88311123946932
76,226.86069399070396
77,166.51994293230698
78,183.48324407832968
79,206.41856378781057
80,234.12698757470392
81,167.02326500174541
82,272.5247227207984
83,211.66988158472535
84,205.91363073078438
85,221.77149988656586
86,123.60529996241716
87,233.96445022855286
88,231.94567749859152
89,163.64478004122483
90,197.13907424312762
91,165.50820077947216
92,254.7060557652342
93,274.9212855817056
94,300.40081335794633
95,225.4921417941106
96,237.93242808830752
97,165.54793281275664
98,50.22183980510196
99,260.25756552968596
100,183.71810327075676
101,93.06383322138312
102,392.1302024540892
103,380.2350778471952
104,230.4215261807674
105,190.31171224565261
106,228.5204671112084
107,261.11317649304846
108,228.52849232527922
109,277.3499560881518
110,207.2252039694291
111,311.5866204677488
112,193.94326239130797
113,192.18159807468433
114,249.60723351597116
115,151.43937326599413
116,173.61776278132055
117,172.55131892392305
118,83.19148007336256
119,201.28944337363768
120,265.4071593192248
121,261.64033941707163
122,290.37512939908504
123,171.57208485038484
124,209.40656890007324
125,315.86769110883944
126,20.49624302734853
127,116.19680435897533
128,312.6765933587662
129,209.46705489533312
130,55.23156144974136
131,255.29543337570107
132,317.7693195825469
133,279.74761228670354
134,275.80524026475746
135,137.93181652878644
136,133.6710061035348
137,211.47938538525133
138,184.0491240185059
139,107.85707178271832
140,102.92061221530768
141,110.25369614486382
142,77.29299085723959
143,78.38346085428641
144,60.31450812046994
145,56.81406914176233
146,15.415743243428437
147,15.415743243428437
148,15.415743243428437
149,13.537473934291341
150,13.635958372593617
151,12.672508140089557
152,9.820820032977444
153,28.534685920773228
154,36.63264168497364
155,19.7300322517822
156,33.288864204053766
157,28.7955756799099
158,27.24130472896613
159,37.9522683939079
160,37.6284448894562
161,35.7782410520405
162,42.55495190758099
163,53.10359958440278
164,57.2419086414208
165,46.61030260271194
166,73.60705058105735
167,52.591097826107905
168,47.919316864024736
169,50.720513253165656
170,62.24151065318626
171,66.50028433951805
172,33.97338127799381
173,57.29343105970491
174,65.48478211206763
175,65.29791574903876
